Place_Id,Place_Name,Img_Path_0,Img_Path_1,Img_Path_2
116,Jurang Tembelan Kanigoro,images_output\Jurang Tembelan Kanigoro\Jurang Tembelan Kanigoro_0.jpg,images_output\Jurang Tembelan Kanigoro\Jurang Tembelan Kanigoro_1.jpg,images_output\Jurang Tembelan Kanigoro\Jurang Tembelan Kanigoro_2.jpg
117,The World Landmarks - Merapi Park Yogyakarta,images_output\The World Landmarks - Merapi Park Yogyakarta\The World Landmarks - Merapi Park Yogyakarta_0.jpg,nan,nan
118,Museum Sonobudoyo Unit I,images_output\Museum Sonobudoyo Unit I\Museum Sonobudoyo Unit I_0.jpg,images_output\Museum Sonobudoyo Unit I\Museum Sonobudoyo Unit I_1.jpg,images_output\Museum Sonobudoyo Unit I\Museum Sonobudoyo Unit I_2.jpg
119,Lava Bantal,images_output\Lava Bantal\Lava Bantal_0.jpg,images_output\Lava Bantal\Lava Bantal_1.jpg,images_output\Lava Bantal\Lava Bantal_2.jpg
120,Bukit Panguk Kediwung,images_output\Bukit Panguk Kediwung\Bukit Panguk Kediwung_0.jpg,images_output\Bukit Panguk Kediwung\Bukit Panguk Kediwung_1.jpg,images_output\Bukit Panguk Kediwung\Bukit Panguk Kediwung_2.jpg
121,Candi Prambanan,images_output\Candi Prambanan\Candi Prambanan_0.jpg,images_output\Candi Prambanan\Candi Prambanan_1.jpg,images_output\Candi Prambanan\Candi Prambanan_2.jpg
122,Watu Goyang,images_output\Watu Goyang\Watu Goyang_0.jpg,nan,nan
123,Kampung Wisata Rejowinangun,images_output\Kampung Wisata Rejowinangun\Kampung Wisata Rejowinangun_0.jpg,images_output\Kampung Wisata Rejowinangun\Kampung Wisata Rejowinangun_1.jpg,nan
124,Kauman Pakualaman Yogyakarta,images_output\Kauman Pakualaman Yogyakarta\Kauman Pakualaman Yogyakarta_0.jpg,nan,nan
125,Alun-alun Utara Keraton Yogyakarta,images_output\Alun-alun Utara Keraton Yogyakarta\Alun-alun Utara Keraton Yogyakarta_0.jpg,images_output\Alun-alun Utara Keraton Yogyakarta\Alun-alun Utara Keraton Yogyakarta_1.jpg,images_output\Alun-alun Utara Keraton Yogyakarta\Alun-alun Utara Keraton Yogyakarta_2.jpg
126,Pantai Goa Cemara,images_output\Pantai Goa Cemara\Pantai Goa Cemara_0.jpg,nan,nan
127,Blue Lagoon Jogja,images_output\Blue Lagoon Jogja\Blue Lagoon Jogja_0.jpg,images_output\Blue Lagoon Jogja\Blue Lagoon Jogja_1.jpg,images_output\Blue Lagoon Jogja\Blue Lagoon Jogja_2.jpg
128,Gumuk Pasir Parangkusumo,images_output\Gumuk Pasir Parangkusumo\Gumuk Pasir Parangkusumo_0.jpg,images_output\Gumuk Pasir Parangkusumo\Gumuk Pasir Parangkusumo_1.jpg,images_output\Gumuk Pasir Parangkusumo\Gumuk Pasir Parangkusumo_2.jpg
129,Bukit Lintang Sewu,images_output\Bukit Lintang Sewu\Bukit Lintang Sewu_0.jpg,images_output\Bukit Lintang Sewu\Bukit Lintang Sewu_1.jpg,images_output\Bukit Lintang Sewu\Bukit Lintang Sewu_2.jpg
130,Studio Alam Gamplong,images_output\Studio Alam Gamplong\Studio Alam Gamplong_0.jpg,images_output\Studio Alam Gamplong\Studio Alam Gamplong_1.jpg,nan
131,Watu Lumbung,images_output\Watu Lumbung\Watu Lumbung_0.jpg,images_output\Watu Lumbung\Watu Lumbung_1.jpg,images_output\Watu Lumbung\Watu Lumbung_2.jpg
132,Air Terjun Kedung Pedut,images_output\Air Terjun Kedung Pedut\Air Terjun Kedung Pedut_0.jpg,images_output\Air Terjun Kedung Pedut\Air Terjun Kedung Pedut_1.jpg,images_output\Air Terjun Kedung Pedut\Air Terjun Kedung Pedut_2.jpg
133,Puncak Kebun Buah Mangunan,images_output\Puncak Kebun Buah Mangunan\Puncak Kebun Buah Mangunan_0.jpg,images_output\Puncak Kebun Buah Mangunan\Puncak Kebun Buah Mangunan_1.jpg,images_output\Puncak Kebun Buah Mangunan\Puncak Kebun Buah Mangunan_2.jpg
134,Desa Wisata Gamplong,images_output\Desa Wisata Gamplong\Desa Wisata Gamplong_0.jpg,images_output\Desa Wisata Gamplong\Desa Wisata Gamplong_1.jpg,images_output\Desa Wisata Gamplong\Desa Wisata Gamplong_2.jpg
135,Kawasan Wisata Sosrowijayan,images_output\Kawasan Wisata Sosrowijayan\Kawasan Wisata Sosrowijayan_0.jpg,images_output\Kawasan Wisata Sosrowijayan\Kawasan Wisata Sosrowijayan_1.jpg,nan
136,Grojogan Watu Purbo Bangunrejo,images_output\Grojogan Watu Purbo Bangunrejo\Grojogan Watu Purbo Bangunrejo_0.jpg,images_output\Grojogan Watu Purbo Bangunrejo\Grojogan Watu Purbo Bangunrejo_1.jpg,images_output\Grojogan Watu Purbo Bangunrejo\Grojogan Watu Purbo Bangunrejo_2.jpg
137,Wisata Alam Kalibiru,images_output\Wisata Alam Kalibiru\Wisata Alam Kalibiru_0.jpg,nan,nan
138,Jogja Exotarium,images_output\Jogja Exotarium\Jogja Exotarium_0.jpg,images_output\Jogja Exotarium\Jogja Exotarium_1.jpg,images_output\Jogja Exotarium\Jogja Exotarium_2.jpg
139,Puncak Gunung Api Purba - Nglanggeran,images_output\Puncak Gunung Api Purba - Nglanggeran\Puncak Gunung Api Purba - Nglanggeran_0.jpg,images_output\Puncak Gunung Api Purba - Nglanggeran\Puncak Gunung Api Purba - Nglanggeran_1.jpg,nan
140,Bendung Lepen,images_output\Bendung Lepen\Bendung Lepen_0.jpg,images_output\Bendung Lepen\Bendung Lepen_1.jpg,images_output\Bendung Lepen\Bendung Lepen_2.png
141,Bunker Kaliadem Merapi,images_output\Bunker Kaliadem Merapi\Bunker Kaliadem Merapi_0.jpg,images_output\Bunker Kaliadem Merapi\Bunker Kaliadem Merapi_1.jpg,images_output\Bunker Kaliadem Merapi\Bunker Kaliadem Merapi_2.jpg
142,Ledok Sambi,images_output\Ledok Sambi\Ledok Sambi_0.jpg,images_output\Ledok Sambi\Ledok Sambi_1.jpg,images_output\Ledok Sambi\Ledok Sambi_2.jpg
143,Seribu Batu Songgo Langit,images_output\Seribu Batu Songgo Langit\Seribu Batu Songgo Langit_0.jpg,nan,nan
144,Goa Jomblang,images_output\Goa Jomblang\Goa Jomblang_0.jpg,images_output\Goa Jomblang\Goa Jomblang_1.jpg,images_output\Goa Jomblang\Goa Jomblang_2.png
145,Desa Wisata Rumah Domes Teletubbies,images_output\Desa Wisata Rumah Domes Teletubbies\Desa Wisata Rumah Domes Teletubbies_0.jpg,images_output\Desa Wisata Rumah Domes Teletubbies\Desa Wisata Rumah Domes Teletubbies_1.jpg,images_output\Desa Wisata Rumah Domes Teletubbies\Desa Wisata Rumah Domes Teletubbies_2.jpg
146,Bukit Wisata Pulepayung,images_output\Bukit Wisata Pulepayung\Bukit Wisata Pulepayung_0.jpg,images_output\Bukit Wisata Pulepayung\Bukit Wisata Pulepayung_1.jpg,nan
