Place_Id,Place_Name
383,Taman Tabanas
384,Kampung Tematik Jawi
385,Kampung Batik Gedong Semarang
386,Air Terjun Semirang
387,Obyek Wisata Goa Kreo
388,Watu Gunung Ungaran
389,Brown Canyon
390,Durian Gardens and Tourism Education Watu Simbar
391,Flower Farm Setiya Aji
392,Ekowisata Mangrove Wonorejo
393,Taman Harmoni Keputih
394,Air Mancur Menari
395,Taman Prestasi
396,Monumen Kapal Selam
397,Taman Kunang-Kunang
398,Taman Buah Surabaya
399,Taman Pelangi
400,Hutan Bambu Keputih
401,Taman Keputran
402,Food Junction Grand Pakuwon
403,Taman Barunawati
404,Kenjeran Park
405,Surabaya North Quay
406,Kebun Bibit Wonorejo
407,Taman Ekspresi Dan Perpustakaan
408,Kebun Binatang Surabaya
409,Rumah Batik
410,Ciputra Waterpark
411,Masjid Muhammad Cheng Hoo
412,Masjid Nasional Al-Akbar
413,Museum TNI AL Loka Jala Crana
414,Jembatan Merah
415,Museum De Javasche Bank
416,Keraton Surabaya
417,Klenteng Sanggar Agung
418,Museum Sepuluh Nopember Kota Surabaya
419,Monumen Tugu Pahlawan
420,Surabaya Museum (Gedung Siola)
421,Museum Kesehatan Dr. Adhyatma
422,Monumen Jalesveva Jayamahe
423,Patung Sura dan Buaya
424,Pantai Ria Kenjeran
425,Waterpark Kenjeran Surabaya
426,Balai Kota Surabaya
427,Patung Buddha Empat Rupa
428,Monumen Bambu Runcing Surabaya
429,House of Sampoerna
430,Atlantis Land Surabaya
431,Taman Hiburan Rakyat
432,Taman Mundu
433,Museum Mpu Tantular
434,Taman Bungkul
435,Taman Air Mancur Menari Kenjeran
436,Taman Flora Bratang Surabaya
437,Gereja Perawan Maria Tak Berdosa Surabaya
